#,Company,Symbol,Portfolio%,Price,Chg,% Chg
84,Chubb Limited,CB,0.24%,256.13,-2.38,(-0.92%)
85,Boeing Company,BA,0.24%,187.85,0.07,(0.04%)
86,"Micron Technology, Inc.",MU,0.24%,109.80,13.55,(14.08%)
87,Starbucks Corp,SBUX,0.24%,91.89,-0.71,(-0.77%)
88,The Cigna Group,CI,0.24%,353.58,-0.25,(-0.07%)
89,Deere & Company,DE,0.23%,397.50,3.44,(0.87%)
90,"Marsh & Mclennan Companies, Inc.",MMC,0.23%,205.58,-0.87,(-0.42%)
91,Regeneron Pharmaceuticals Inc,REGN,0.23%,978.12,11.16,(1.15%)
92,The Charles Schwab Corporation,SCHW,0.23%,71.80,2.13,(3.06%)
93,Automatic Data Processing,ADP,0.23%,249.29,1.56,(0.63%)
94,Boston Scientific Corp.,BSX,0.23%,67.43,-0.02,(-0.02%)
95,Cvs Health Corporation,CVS,0.23%,78.30,-0.68,(-0.86%)
96,"Mondelez International, Inc. Class A",MDLZ,0.22%,72.09,0.22,(0.31%)
97,"Analog Devices, Inc.",ADI,0.22%,197.08,2.75,(1.42%)
98,Lockheed Martin Corp.,LMT,0.22%,443.58,3.16,(0.72%)
99,"Fiserv, Inc.",FI,0.21%,157.50,2.01,(1.29%)
100,Kla Corporation,KLAC,0.21%,714.05,18.10,(2.60%)
101,American Tower Corporation,AMT,0.21%,194.11,-0.53,(-0.27%)
102,Gilead Sciences Inc,GILD,0.21%,73.19,-0.80,(-1.07%)
103,Blackstone Inc.,BX,0.21%,131.00,3.24,(2.54%)
104,Synopsys Inc,SNPS,0.20%,608.10,18.32,(3.11%)
105,"Palo Alto Networks, Inc.",PANW,0.20%,287.10,5.05,(1.79%)
106,Cadence Design Systems,CDNS,0.20%,324.50,7.63,(2.41%)
107,"T-Mobile Us, Inc.",TMUS,0.19%,161.27,0.11,(0.07%)
108,Zoetis Inc.,ZTS,0.18%,168.12,-2.87,(-1.68%)
109,The Sherwin-Williams Company,SHW,0.18%,345.88,4.82,(1.41%)
110,"Equinix, Inc. Reit",EQIX,0.18%,817.32,-7.56,(-0.92%)
111,"Altria Group, Inc.",MO,0.18%,45.04,0.24,(0.55%)
112,Cme Group Inc.,CME,0.18%,217.25,3.63,(1.70%)
113,"Waste Management, Inc.",WM,0.18%,212.49,0.63,(0.30%)
114,Target Corporation,TGT,0.18%,170.25,-0.21,(-0.12%)
115,Schlumberger Limited,SLB,0.18%,54.51,0.11,(0.19%)
116,Intercontinental Exchange  Inc.,ICE,0.18%,138.20,2.10,(1.54%)
117,"Chipotle Mexican Grill, Inc.",CMG,0.18%,"2,915.00",20.00,(0.69%)
