#,Company,Symbol,Portfolio%,Price,Chg,% Chg
359,Omnicom Group Inc.,OMC,0.04%,94.38,0.11,(0.12%)
360,"Textron, Inc.",TXT,0.04%,95.41,0.42,(0.44%)
361,Factset Research Systems,FDS,0.04%,445.04,-42.86,(-8.78%)
362,"Principal Financial Group, Inc.",PFG,0.04%,83.61,-0.40,(-0.48%)
363,Idex Corporation,IEX,0.04%,246.02,5.13,(2.13%)
364,"Expedia Group, Inc.",EXPE,0.04%,136.68,-1.42,(-1.03%)
365,Regions Financial Corp.,RF,0.04%,19.94,0.17,(0.86%)
366,Hologic Inc,HOLX,0.04%,75.55,0.51,(0.68%)
367,Laboratory Corporation of America Holdings,LH,0.04%,211.25,1.88,(0.90%)
368,"Centerpoint Energy, Inc.",CNP,0.04%,27.96,-0.14,(-0.50%)
369,"Tyler Technologies, Inc.",TYL,0.04%,391.23,-29.39,(-6.99%)
370,W.R. Berkley Corporation,WRB,0.04%,85.88,-0.48,(-0.55%)
371,"Leidos Holdings, Inc.",LDOS,0.04%,129.24,1.36,(1.07%)
372,"Mccormick & Company, Incorporated Non-Vtg Cs",MKC,0.04%,69.53,0.80,(1.17%)
373,"Ventas, Inc.",VTR,0.04%,43.88,0.21,(0.48%)
374,Synchrony Financial,SYF,0.04%,42.33,-1.06,(-2.43%)
375,Avery Dennison Corp.,AVY,0.04%,218.79,2.32,(1.07%)
376,Atmos Energy Corporation,ATO,0.04%,116.91,0.41,(0.36%)
377,"Expeditors International of Washington, Inc.",EXPD,0.04%,116.53,-3.04,(-2.54%)
378,Cms Energy Corporation,CMS,0.04%,58.93,0.40,(0.68%)
379,Verisign Inc,VRSN,0.04%,190.96,1.07,(0.56%)
380,Northern Trust Corp,NTRS,0.04%,86.50,2.40,(2.85%)
381,Masco Corporation,MAS,0.04%,78.24,2.01,(2.64%)
382,"Epam Systems, Inc.",EPAM,0.04%,283.92,-8.63,(-2.95%)
383,Southwest Airlines Co.,LUV,0.04%,28.72,-0.12,(-0.42%)
384,"Everest Group, Ltd.",EG,0.04%,384.35,-6.37,(-1.63%)
385,Seagate Technology Holdings Plcs,STX,0.04%,88.54,1.12,(1.29%)
386,Skyworks Solutions Inc,SWKS,0.04%,106.25,0.69,(0.65%)
387,"Cf Industries Holding, Inc.",CF,0.04%,85.66,-0.48,(-0.55%)
388,Packaging Corp of America,PKG,0.04%,183.61,-0.61,(-0.33%)
389,"Tyson Foods, Inc.",TSN,0.04%,57.97,0.27,(0.46%)
390,Akamai Technologies Inc,AKAM,0.04%,109.17,-0.43,(-0.39%)
391,Carnival Corporation,CCL,0.04%,17.06,0.21,(1.25%)
392,Celanese Corporation,CE,0.04%,100.00,-65.45,(-39.56%)
393,Jabil Inc.,JBL,0.04%,129.75,2.85,(2.25%)
394,"Teradyne, Inc.",TER,0.04%,111.21,4.09,(3.82%)
395,Trimble Inc.,TRMB,0.04%,64.18,0.44,(0.69%)
396,Marathon Oil Corporation,MRO,0.04%,27.01,-0.09,(-0.33%)
397,"First Solar, Inc.",FSLR,0.04%,152.13,1.11,(0.74%)
398,Pool Corporation,POOL,0.04%,419.57,10.11,(2.47%)
399,"Citizens Financial Group, Inc.",CFG,0.04%,35.65,0.81,(2.32%)
400,Jb Hunt Transport Services Inc,JBHT,0.04%,198.88,3.82,(1.96%)
401,Domino's Pizza Inc.,DPZ,0.04%,454.83,3.10,(0.69%)
402,Snap-on Incorporated,SNA,0.04%,293.39,1.38,(0.47%)
403,"Essex Property Trust, Inc",ESS,0.03%,244.18,3.48,(1.45%)
404,"Mid-America Apartment Communities, Inc.",MAA,0.03%,133.04,1.75,(1.33%)
405,"Nrg Energy, Inc.",NRG,0.03%,67.09,-0.05,(-0.08%)
406,"Best Buy Company, Inc.",BBY,0.03%,79.88,1.29,(1.64%)
407,"Lamb Weston Holdings, Inc.",LW,0.03%,102.82,-0.36,(-0.35%)
408,"Enphase Energy, Inc.",ENPH,0.03%,115.57,1.87,(1.64%)
409,"Walgreens Boots Alliance, Inc",WBA,0.03%,20.78,-0.31,(-1.47%)
410,Live Nation Entertainment Inc.,LYV,0.03%,106.71,2.29,(2.19%)
411,Zebra Technologies Corporation,ZBRA,0.03%,298.30,12.49,(4.37%)
412,"Host Hotels & Resorts, Inc.",HST,0.03%,21.24,0.46,(2.21%)
413,Kellanova,K,0.03%,56.15,1.01,(1.83%)
414,"United Airlines Holdings, Inc.",UAL,0.03%,46.53,0.55,(1.19%)
415,Quest Diagnostics Inc.,DGX,0.03%,128.93,1.21,(0.94%)
416,Viatris Inc.,VTRS,0.03%,12.11,0.23,(1.94%)
417,Bunge Global Sa,BG,0.03%,99.73,2.32,(2.38%)
418,Loews Corporation,L,0.03%,77.44,-0.33,(-0.42%)
419,Albemarle Corporation,ALB,0.03%,125.20,0.75,(0.60%)
420,Nordson Corp,NDSN,0.03%,266.63,1.68,(0.63%)
421,"Stanley Black & Decker, Inc.",SWK,0.03%,96.17,3.62,(3.91%)
422,Lkq Corporation,LKQ,0.03%,52.91,0.61,(1.17%)
423,Eqt Corp,EQT,0.03%,34.33,0.51,(1.49%)
424,"Conagra Brands, Inc.",CAG,0.03%,28.96,0.12,(0.42%)
425,"Charles River Laboratories International, Inc.",CRL,0.03%,235.00,-33.17,(-12.37%)
426,Keycorp,KEY,0.03%,15.36,0.32,(2.13%)
427,Amcor Plcs,AMCR,0.03%,9.28,0.13,(1.46%)
428,Pentair Plc,PNR,0.03%,84.66,2.38,(2.90%)
429,International Paper Co.,IP,0.03%,39.84,0.61,(1.54%)
430,"Rollins, Inc.",ROL,0.03%,46.56,-0.27,(-0.59%)
431,"Revvity, Inc.",RVTY,0.03%,130.78,26.11,(24.94%)
432,The J.M. Smucker Company,SJM,0.03%,124.03,0.60,(0.49%)
433,Carmax Inc.,KMX,0.03%,85.77,2.69,(3.24%)
434,Kimco Realty Corp.,KIM,0.03%,19.56,0.12,(0.60%)
435,Molson Coors Beverage Company Class B,TAP,0.03%,66.34,-0.50,(-0.75%)
436,Henry (Jack) & Associates,JKHY,0.03%,170.11,-1.39,(-0.81%)
437,Westrock Company,WRK,0.03%,48.92,-0.52,(-1.06%)
438,"Healthpeak Properties, Inc.",DOC,0.03%,17.88,0.30,(1.68%)
439,"The Interpublic Group of Companies, Inc.",IPG,0.03%,33.11,0.30,(0.93%)
440,Alliant Energy Corporation,LNT,0.03%,48.94,0.14,(0.29%)
441,Mgm Resorts International,MGM,0.03%,44.51,-0.10,(-0.22%)
442,Gen Digital Inc.,GEN,0.03%,22.17,0.58,(2.70%)
443,"Evergy, Inc.",EVRG,0.03%,51.80,0.02,(0.05%)
444,Insulet Corporation,PODD,0.03%,167.34,0.14,(0.08%)
445,Juniper Networks Inc,JNPR,0.03%,37.02,0.20,(0.53%)
446,Allegion Public Limited Company,ALLE,0.03%,135.39,0.11,(0.08%)
447,"Huntington Ingalls Industries, Inc.",HII,0.03%,294.24,2.04,(0.70%)
448,"F5, Inc.",FFIV,0.03%,213.00,23.47,(12.38%)
449,Bio-Techne Corp.,TECH,0.03%,73.33,1.45,(2.02%)
450,"Udr, Inc.",UDR,0.03%,37.64,0.58,(1.55%)
451,Eastman Chemical Company,EMN,0.03%,95.54,1.87,(2.00%)
452,"Universal Health Services, Inc. Class B",UHS,0.03%,182.35,2.46,(1.36%)
453,Nisource Inc.,NI,0.03%,27.10,0.24,(0.89%)
454,Incyte Genomics Inc,INCY,0.02%,57.63,-0.62,(-1.06%)
455,"Bath & Body Works, Inc.",BBWI,0.02%,48.51,0.41,(0.84%)
456,"Qorvo, Inc.",QRVO,0.02%,115.47,1.95,(1.71%)
457,"Tapestry, Inc.",TPR,0.02%,47.74,0.34,(0.71%)
458,A.O. Smith Corporation,AOS,0.02%,89.94,2.30,(2.63%)
459,The Mosaic Company,MOS,0.02%,32.23,-0.04,(-0.12%)
460,Aes Corporation,AES,0.02%,15.79,0.25,(1.60%)
461,"Dayforce, Inc.",DAY,0.02%,71.68,2.60,(3.76%)
462,Camden Property Trust,CPT,0.02%,99.77,1.41,(1.44%)
463,Teleflex Incorporated,TFX,0.02%,324.77,104.29,(47.30%)
464,Apa Corporation,APA,0.02%,33.90,0.11,(0.33%)
465,"Catalent, Inc.",CTLT,0.02%,56.82,0.94,(1.68%)
466,Globe Life Inc.,GL,0.02%,116.89,-1.00,(-0.85%)
467,Hormel Foods Corporation,HRL,0.02%,34.33,-0.17,(-0.49%)
468,News Corporation Class A,NWSA,0.02%,26.23,0.32,(1.22%)
469,Regency Centers Corporation,REG,0.02%,61.40,1.14,(1.88%)
470,Henry Schein Inc,HSIC,0.02%,74.22,-0.56,(-0.74%)
471,"Match Group, Inc",MTCH,0.02%,35.80,-0.21,(-0.59%)
472,Wynn Resorts Ltd,WYNN,0.02%,99.93,-0.16,(-0.15%)
473,Brown-Forman Corporation Class B,BF-B,0.02%,52.08,-0.17,(-0.33%)
474,"Assurant, Inc.",AIZ,0.02%,179.67,-0.94,(-0.52%)
475,"Paycom Software, Inc.",PAYC,0.02%,193.67,2.33,(1.22%)
476,American Airlines Group Inc.,AAL,0.02%,14.76,0.19,(1.30%)
477,"Boston Properties, Inc.",BXP,0.02%,66.16,1.71,(2.65%)
478,"C.H. Robinson Worldwide, Inc.",CHRW,0.02%,74.84,0.89,(1.20%)
479,Campbell Soup Company,CPB,0.02%,43.35,0.00,(0.00%)
480,"Caesars Entertainment, Inc.",CZR,0.02%,41.70,-0.04,(-0.10%)
481,Robert Half Inc.,RHI,0.02%,78.50,-1.69,(-2.11%)
482,Marketaxess Holdings Inc.,MKTX,0.02%,221.89,5.18,(2.39%)
483,Pinnacle West Capital Corporation,PNW,0.02%,72.93,0.15,(0.21%)
484,Norwegian Cruise Line Holdings Ltd.s,NCLH,0.02%,20.58,0.40,(1.98%)
485,"Etsy, Inc.",ETSY,0.02%,67.89,-0.63,(-0.91%)
486,Fmc Corporation,FMC,0.02%,64.87,0.76,(1.19%)
487,"Franklin Resources, Inc.",BEN,0.02%,27.87,0.52,(1.92%)
488,Borgwarner Inc.,BWA,0.02%,33.14,0.41,(1.27%)
489,Davita Inc.,DVA,0.02%,136.34,-2.44,(-1.76%)
490,Fox Corporation Class A,FOXA,0.02%,30.53,0.31,(1.02%)
491,Federal Realty Investment Trust,FRT,0.02%,101.90,0.80,(0.79%)
492,Ralph Lauren Corporation,RL,0.02%,190.57,0.25,(0.13%)
493,Dentsply Sirona Inc.,XRAY,0.02%,33.29,-0.01,(-0.03%)
494,"Bio-Rad Laboratories, Inc.Class A",BIO,0.02%,359.74,23.45,(6.97%)
495,Generac Holdings Inc,GNRC,0.02%,119.82,1.50,(1.26%)
496,Invesco Ltd,IVZ,0.02%,16.02,0.19,(1.17%)
497,"Hasbro, Inc.",HAS,0.02%,56.08,1.80,(3.31%)
498,Comerica Incorporated,CMA,0.02%,52.36,0.60,(1.16%)
499,"Mohawk Industries, Inc.",MHK,0.01%,126.27,2.69,(2.18%)
500,Paramount Global Class B,PARA,0.01%,11.84,-0.67,(-5.36%)
501,V.F. Corporation,VFC,0.01%,14.59,0.17,(1.14%)
502,Fox Corporation Class B,FOX,0.01%,27.78,0.20,(0.73%)
503,News Corporation Class B,NWS,0.01%,27.25,0.44,(1.62%)
